PAIMS_ADDRESS.CIVIC_ADDRESS,PAIMS_ADDRESS.CITY,Data Conversion.CIVIC_ADDRESS,Data Conversion.CITY,ErrorCode,ErrorColumn
531-hidden,VICTORIA,531-hidden,VICTORIA,-1071607778,0
541-hidden,Ladysmith,541-hidden,Ladysmith,-1071607778,0
542-hidden,Golden,542-hidden,Golden,-1071607778,0
543-hidden,Slocan,543-hidden,Slocan,-1071607778,0
544-hidden,Nelson,544-hidden,Nelson,-1071607778,0
1767-hidden,Abbotsford,1767-hidden,Abbotsford,-1071607778,0
1770-hidden,Princeton,1770-hidden,Princeton,-1071607778,0
1771-hidden,CASSIDY,1771-hidden,CASSIDY,-1071607778,0
1776-hidden,Kelowna,1776-hidden,Kelowna,-1071607778,0
1777-hidden,Kelowna,1777-hidden,Kelowna,-1071607778,0
1778-hidden,Dist of Lake Country,1778-hidden,Dist of Lake Country,-1071607778,0
1779-hidden,Kelowna,1779-hidden,Kelowna,-1071607778,0
1780-hidden,Kelowna,1780-hidden,Kelowna,-1071607778,0
1781-hidden,Kelowna,1781-hidden,Kelowna,-1071607778,0
1782-hidden,Kelowna,1782-hidden,Kelowna,-1071607778,0
1783-hidden,Kelowna,1783-hidden,Kelowna,-1071607778,0
1784-hidden,Kelowna,1784-hidden,Kelowna,-1071607778,0
1785-hidden,Kelowna,1785-hidden,Kelowna,-1071607778,0
1786-hidden,Naramata,1786-hidden,Naramata,-1071607778,0
1787-hidden,Penticton,1787-hidden,Penticton,-1071607778,0
1788-hidden,Summerland,1788-hidden,Summerland,-1071607778,0
1789-hidden,Summerland,1789-hidden,Summerland,-1071607778,0
1790-hidden,Keremeos,1790-hidden,Keremeos,-1071607778,0
1791-hidden,Keremeos,1791-hidden,Keremeos,-1071607778,0
1792-hidden,Peachland,1792-hidden,Peachland,-1071607778,0
1793-hidden,Summerland,1793-hidden,Summerland,-1071607778,0
1794-hidden,Summerland,1794-hidden,Summerland,-1071607778,0
1795-hidden,Princeton,1795-hidden,Princeton,-1071607778,0
1810-hidden,Twin Lakes,1810-hidden,Twin Lakes,-1071607778,0
1827-hidden,Wilson Landing,1827-hidden,Wilson Landing,-1071607778,0
1828-hidden,Okanagan Falls,1828-hidden,Okanagan Falls,-1071607778,0
1829-hidden,Rural,1829-hidden,Rural,-1071607778,0
1811-hidden,Oliver,1811-hidden,Oliver,-1071607778,0
1812-hidden,Oliver,1812-hidden,Oliver,-1071607778,0
1813-hidden,Oliver,1813-hidden,Oliver,-1071607778,0
1937-hidden,Malakwa,1937-hidden,Malakwa,-1071607778,0
1938-hidden,Salmon Arm,1938-hidden,Salmon Arm,-1071607778,0
1939-hidden,Enderby,1939-hidden,Enderby,-1071607778,0
1940-hidden,Grindrod,1940-hidden,Grindrod,-1071607778,0
1941-hidden,Mara,1941-hidden,Mara,-1071607778,0
1942-hidden,Chase,1942-hidden,Chase,-1071607778,0
1943-hidden,Lumby,1943-hidden,Lumby,-1071607778,0
1944-hidden,Malakwa,1944-hidden,Malakwa,-1071607778,0
1945-hidden,Salmon Arm,1945-hidden,Salmon Arm,-1071607778,0
1946-hidden,Salmon Arm,1946-hidden,Salmon Arm,-1071607778,0
1947-hidden,Salmon Arm,1947-hidden,Salmon Arm,-1071607778,0
1948-hidden,Salmon Arm,1948-hidden,Salmon Arm,-1071607778,0
1949-hidden,Rural,1949-hidden,Rural,-1071607778,0
1950-hidden,Rural,1950-hidden,Rural,-1071607778,0
1951-hidden,Port Edward,1951-hidden,Port Edward,-1071607778,0
1952-hidden,Ashcroft Rural,1952-hidden,Ashcroft Rural,-1071607778,0
1953-hidden,Craigellachie,1953-hidden,Craigellachie,-1071607778,0
1954-hidden,Chase Rural,1954-hidden,Chase Rural,-1071607778,0
1955-hidden,Salmon Arm,1955-hidden,Salmon Arm,-1071607778,0
1956-hidden,Salmon Arm,1956-hidden,Salmon Arm,-1071607778,0
1957-hidden,Salmon Arm,1957-hidden,Salmon Arm,-1071607778,0
1958-hidden,Armstrong,1958-hidden,Armstrong,-1071607778,0
1959-hidden,Armstrong,1959-hidden,Armstrong,-1071607778,0
1960-hidden,Enderby,1960-hidden,Enderby,-1071607778,0
1961-hidden,Courtenay,1961-hidden,Courtenay,-1071607778,0
1962-hidden,Courtenay,1962-hidden,Courtenay,-1071607778,0
1966-hidden,Kamloops,1966-hidden,Kamloops,-1071607778,0
1967-hidden,Little Fort,1967-hidden,Little Fort,-1071607778,0
1968-hidden,Little Fort,1968-hidden,Little Fort,-1071607778,0
1969-hidden,Little Fort,1969-hidden,Little Fort,-1071607778,0
1378-hidden,Pitt Meadows,1378-hidden,Pitt Meadows,-1071607778,0
1386-hidden,Burnaby,1386-hidden,Burnaby,-1071607778,0
1387-hidden,Burnaby,1387-hidden,Burnaby,-1071607778,0
1388-hidden,Burnaby,1388-hidden,Burnaby,-1071607778,0
1389-hidden,Burnaby,1389-hidden,Burnaby,-1071607778,0
1396-hidden,Abbotsford,1396-hidden,Abbotsford,-1071607778,0
1397-hidden,Abbotsford,1397-hidden,Abbotsford,-1071607778,0
1398-hidden,Abbotsford,1398-hidden,Abbotsford,-1071607778,0
1399-hidden,Abbotsford,1399-hidden,Abbotsford,-1071607778,0
1406-hidden,Comox,1406-hidden,Comox,-1071607778,0
1407-hidden,Delta,1407-hidden,Delta,-1071607778,0
1408-hidden,Delta,1408-hidden,Delta,-1071607778,0
1409-hidden,Burnaby,1409-hidden,Burnaby,-1071607778,0
2072-hidden,Golden,2072-hidden,Golden,-1071607778,0
2073-hidden,Golden,2073-hidden,Golden,-1071607778,0
2076-hidden,Monte Creek,2076-hidden,Monte Creek,-1071607778,0
545-hidden,Nelson,545-hidden,Nelson,-1071607778,0
546-hidden,Nelson,546-hidden,Nelson,-1071607778,0
547-hidden,Nelson,547-hidden,Nelson,-1071607778,0
548-hidden,Nelson,548-hidden,Nelson,-1071607778,0
549-hidden,Nelson,549-hidden,Nelson,-1071607778,0
551-hidden,Nelson,551-hidden,Nelson,-1071607778,0
552-hidden,Nelson,552-hidden,Nelson,-1071607778,0
553-hidden,Nelson,553-hidden,Nelson,-1071607778,0
554-hidden,Nelson,554-hidden,Nelson,-1071607778,0
561-hidden,Drynoch,561-hidden,Drynoch,-1071607778,0
571-hidden,Langley,571-hidden,Langley,-1071607778,0
572-hidden,Castlegar,572-hidden,Castlegar,-1071607778,0
573-hidden,Castlegar,573-hidden,Castlegar,-1071607778,0
574-hidden,Castlegar,574-hidden,Castlegar,-1071607778,0
575-hidden,Monte Creek,575-hidden,Monte Creek,-1071607778,0
576-hidden,Tappen,576-hidden,Tappen,-1071607778,0
577-hidden,Kamloops,577-hidden,Kamloops,-1071607778,0
578-hidden,S. Slocan,578-hidden,S. Slocan,-1071607778,0
579-hidden,Slocan City,579-hidden,Slocan City,-1071607778,0
580-hidden,Sirdar,580-hidden,Sirdar,-1071607778,0
581-hidden,Savona,581-hidden,Savona,-1071607778,0
582-hidden,Kitchener,582-hidden,Kitchener,-1071607778,0
583-hidden,Nelson,583-hidden,Nelson,-1071607778,0
584-hidden,Cranbrook,584-hidden,Cranbrook,-1071607778,0
585-hidden,Torrent,585-hidden,Torrent,-1071607778,0
1605-hidden,Surrey,1605-hidden,Surrey,-1071607778,0
1607-hidden,Surrey,1607-hidden,Surrey,-1071607778,0
1609-hidden,Surrey,1609-hidden,Surrey,-1071607778,0
1596-hidden,Surrey,1596-hidden,Surrey,-1071607778,0
2425-hidden,Port Alberni,2425-hidden,Port Alberni,-1071607778,0
2426-hidden,Port Alberni,2426-hidden,Port Alberni,-1071607778,0
2427-hidden,Port Alberni,2427-hidden,Port Alberni,-1071607778,0
2428-hidden,Port Alberni,2428-hidden,Port Alberni,-1071607778,0
2429-hidden,Fernie,2429-hidden,Fernie,-1071607778,0
2430-hidden,Fernie,2430-hidden,Fernie,-1071607778,0
2431-hidden,Port alberni,2431-hidden,Port alberni,-1071607778,0
2432-hidden,Fernie,2432-hidden,Fernie,-1071607778,0
2433-hidden,Port Alberni,2433-hidden,Port Alberni,-1071607778,0
2434-hidden,Beasley,2434-hidden,Beasley,-1071607778,0
2435-hidden,Port Alberni,2435-hidden,Port Alberni,-1071607778,0
2436-hidden,Port Alberni,2436-hidden,Port Alberni,-1071607778,0
2437-hidden,Port Alberni,2437-hidden,Port Alberni,-1071607778,0
2438-hidden,Port Alberni,2438-hidden,Port Alberni,-1071607778,0
2439-hidden,Trail,2439-hidden,Trail,-1071607778,0
2440-hidden,Trail,2440-hidden,Trail,-1071607778,0
2441-hidden,Port Alberni,2441-hidden,Port Alberni,-1071607778,0
2442-hidden,Port Alberni,2442-hidden,Port Alberni,-1071607778,0
2443-hidden,Port Alberni,2443-hidden,Port Alberni,-1071607778,0
2444-hidden,Port Alberni,2444-hidden,Port Alberni,-1071607778,0
2445-hidden,Port Alberni,2445-hidden,Port Alberni,-1071607778,0
2446-hidden,Port Alberni,2446-hidden,Port Alberni,-1071607778,0
2447-hidden,Port Alberni,2447-hidden,Port Alberni,-1071607778,0
2448-hidden,Port Alberni,2448-hidden,Port Alberni,-1071607778,0
2449-hidden,Port Alberni,2449-hidden,Port Alberni,-1071607778,0
2450-hidden,Fernie,2450-hidden,Fernie,-1071607778,0
2451-hidden,Port Alberni,2451-hidden,Port Alberni,-1071607778,0
2452-hidden,Golden,2452-hidden,Golden,-1071607778,0
2456-hidden,Merritt,2456-hidden,Merritt,-1071607778,0
2466-hidden,Sorrento,2466-hidden,Sorrento,-1071607778,0
2467-hidden,Sorrento,2467-hidden,Sorrento,-1071607778,0
2468-hidden,Sorrento,2468-hidden,Sorrento,-1071607778,0
2469-hidden,83 Mile,2469-hidden,83 Mile,-1071607778,0
2539-hidden,Golden,2539-hidden,Golden,-1071607778,0
2540-hidden,Golden,2540-hidden,Golden,-1071607778,0
2541-hidden,Castlegar,2541-hidden,Castlegar,-1071607778,0
2542-hidden,Yahk,2542-hidden,Yahk,-1071607778,0
2543-hidden,Golden,2543-hidden,Golden,-1071607778,0
2546-hidden,Mill Bay,2546-hidden,Mill Bay,-1071607778,0
2547-hidden,Mill Bay,2547-hidden,Mill Bay,-1071607778,0
2548-hidden,Ladysmith,2548-hidden,Ladysmith,-1071607778,0
2549-hidden,VICTORIA,2549-hidden,VICTORIA,-1071607778,0
2550-hidden,VICTORIA,2550-hidden,VICTORIA,-1071607778,0
2551-hidden,VICTORIA,2551-hidden,VICTORIA,-1071607778,0
2552-hidden,VICTORIA,2552-hidden,VICTORIA,-1071607778,0
2553-hidden,VICTORIA,2553-hidden,VICTORIA,-1071607778,0
2554-hidden,VICTORIA,2554-hidden,VICTORIA,-1071607778,0
2555-hidden,VICTORIA,2555-hidden,VICTORIA,-1071607778,0
2556-hidden,VICTORIA,2556-hidden,VICTORIA,-1071607778,0
2557-hidden,VICTORIA,2557-hidden,VICTORIA,-1071607778,0
2558-hidden,VICTORIA,2558-hidden,VICTORIA,-1071607778,0
2559-hidden,VICTORIA,2559-hidden,VICTORIA,-1071607778,0
2560-hidden,VICTORIA,2560-hidden,VICTORIA,-1071607778,0
2561-hidden,VICTORIA,2561-hidden,VICTORIA,-1071607778,0
2562-hidden,VICTORIA,2562-hidden,VICTORIA,-1071607778,0
2077-hidden,Kamloops,2077-hidden,Kamloops,-1071607778,0
2078-hidden,Kamloops,2078-hidden,Kamloops,-1071607778,0
2079-hidden,Kamloops,2079-hidden,Kamloops,-1071607778,0
2080-hidden,Erickson,2080-hidden,Erickson,-1071607778,0
2081-hidden,Erickson,2081-hidden,Erickson,-1071607778,0
2082-hidden,Rayleigh,2082-hidden,Rayleigh,-1071607778,0
2083-hidden,Rayleigh,2083-hidden,Rayleigh,-1071607778,0
2084-hidden,Kamloops,2084-hidden,Kamloops,-1071607778,0
2085-hidden,Kamloops,2085-hidden,Kamloops,-1071607778,0
2086-hidden,Kamloops,2086-hidden,Kamloops,-1071607778,0
2087-hidden,N/A,2087-hidden,N/A,-1071607778,0
2088-hidden,N/A,2088-hidden,N/A,-1071607778,0
2089-hidden,Invermere,2089-hidden,Invermere,-1071607778,0
2090-hidden,N/A,2090-hidden,N/A,-1071607778,0
2091-hidden,Nelson,2091-hidden,Nelson,-1071607778,0
2092-hidden,N/A,2092-hidden,N/A,-1071607778,0
2093-hidden,Kinnaird,2093-hidden,Kinnaird,-1071607778,0
2094-hidden,Jaffray,2094-hidden,Jaffray,-1071607778,0
2095-hidden,Golden,2095-hidden,Golden,-1071607778,0
2096-hidden,Moyie,2096-hidden,Moyie,-1071607778,0
2097-hidden,Fruitvale,2097-hidden,Fruitvale,-1071607778,0
2662-hidden,VICTORIA,2662-hidden,VICTORIA,-1071607778,0
2663-hidden,Victoria,2663-hidden,Victoria,-1071607778,0
2666-hidden,VICTORIA,2666-hidden,VICTORIA,-1071607778,0
2667-hidden,Port Alberni,2667-hidden,Port Alberni,-1071607778,0
1597-hidden,Surrey,1597-hidden,Surrey,-1071607778,0
1610-hidden,Surrey,1610-hidden,Surrey,-1071607778,0
1611-hidden,Surrey,1611-hidden,Surrey,-1071607778,0
1616-hidden,Oliver Rural,1616-hidden,Oliver Rural,-1071607778,0
1626-hidden,Duncan,1626-hidden,Duncan,-1071607778,0
1627-hidden,Duncan,1627-hidden,Duncan,-1071607778,0
1628-hidden,Princeton,1628-hidden,Princeton,-1071607778,0
1629-hidden,Summerland,1629-hidden,Summerland,-1071607778,0
1630-hidden,Summerland,1630-hidden,Summerland,-1071607778,0
1631-hidden,Princeton,1631-hidden,Princeton,-1071607778,0
1632-hidden,Westbank,1632-hidden,Westbank,-1071607778,0
1636-hidden,Peachland,1636-hidden,Peachland,-1071607778,0
1638-hidden,Princeton,1638-hidden,Princeton,-1071607778,0
1639-hidden,Princeton,1639-hidden,Princeton,-1071607778,0
1640-hidden,Princeton,1640-hidden,Princeton,-1071607778,0
1646-hidden,Oliver,1646-hidden,Oliver,-1071607778,0
1647-hidden,Oliver,1647-hidden,Oliver,-1071607778,0
1648-hidden,Oliver,1648-hidden,Oliver,-1071607778,0
1649-hidden,Oliver,1649-hidden,Oliver,-1071607778,0
1650-hidden,Oliver,1650-hidden,Oliver,-1071607778,0
2318-hidden,PORT ALBERNI,2318-hidden,PORT ALBERNI,-1071607778,0
2319-hidden,PORT ALBERNI,2319-hidden,PORT ALBERNI,-1071607778,0
2320-hidden,PORT ALBERNI,2320-hidden,PORT ALBERNI,-1071607778,0
2321-hidden,PORT ALBERNI,2321-hidden,PORT ALBERNI,-1071607778,0
181-hidden,Richmond/Delta,181-hidden,Richmond/Delta,-1071607778,0
182-hidden,Hope,182-hidden,Hope,-1071607778,0
183-hidden,Hope,183-hidden,Hope,-1071607778,0
184-hidden,Chilliwack,184-hidden,Chilliwack,-1071607778,0
185-hidden,Maple Ridge,185-hidden,Maple Ridge,-1071607778,0
186-hidden,unknown,186-hidden,unknown,-1071607778,0
187-hidden,Port Moody,187-hidden,Port Moody,-1071607778,0
188-hidden,Abbotsford,188-hidden,Abbotsford,-1071607778,0
189-hidden,Coquitlam,189-hidden,Coquitlam,-1071607778,0
190-hidden,Abbotsford,190-hidden,Abbotsford,-1071607778,0
191-hidden,Coquitlam,191-hidden,Coquitlam,-1071607778,0
192-hidden,Coquitlam,192-hidden,Coquitlam,-1071607778,0
193-hidden,Abbotsford,193-hidden,Abbotsford,-1071607778,0
797-hidden,Sparwood, BC,797-hidden,Sparwood, BC,-1071607778,0
281-hidden,Yale,281-hidden,Yale,-1071607778,0
282-hidden,Yale,282-hidden,Yale,-1071607778,0
283-hidden,Yale,283-hidden,Yale,-1071607778,0
284-hidden,Yale,284-hidden,Yale,-1071607778,0
285-hidden,Yale,285-hidden,Yale,-1071607778,0
286-hidden,Yale,286-hidden,Yale,-1071607778,0
287-hidden,Yale,287-hidden,Yale,-1071607778,0
289-hidden,Yale,289-hidden,Yale,-1071607778,0
290-hidden,Abbotsford,290-hidden,Abbotsford,-1071607778,0
291-hidden,Burnaby,291-hidden,Burnaby,-1071607778,0
292-hidden,Coquitlam,292-hidden,Coquitlam,-1071607778,0
293-hidden,Whonnock,293-hidden,Whonnock,-1071607778,0
294-hidden,North Bend,294-hidden,North Bend,-1071607778,0
2668-hidden,Langley,2668-hidden,Langley,-1071607778,0
2676-hidden,Athalmere,2676-hidden,Athalmere,-1071607778,0
2677-hidden,Athalmere,2677-hidden,Athalmere,-1071607778,0
2678-hidden,Oyster River,2678-hidden,Oyster River,-1071607778,0
2679-hidden,Oyster River,2679-hidden,Oyster River,-1071607778,0
2680-hidden,,2680-hidden,,-1071607778,0
2681-hidden,Black Creek,2681-hidden,Black Creek,-1071607778,0
2682-hidden,Lantzville,2682-hidden,Lantzville,-1071607778,0
2683-hidden,Lantzville,2683-hidden,Lantzville,-1071607778,0
2686-hidden,Victoria,2686-hidden,Victoria,-1071607778,0
2687-hidden,Victoria,2687-hidden,Victoria,-1071607778,0
2688-hidden,Sidney,2688-hidden,Sidney,-1071607778,0
2689-hidden,Sidney,2689-hidden,Sidney,-1071607778,0
2690-hidden,Erickson,2690-hidden,Erickson,-1071607778,0
2691-hidden,Erickson,2691-hidden,Erickson,-1071607778,0
2692-hidden,Athalmer,2692-hidden,Athalmer,-1071607778,0
2693-hidden,Athalmer,2693-hidden,Athalmer,-1071607778,0
2696-hidden,Ladysmith,2696-hidden,Ladysmith,-1071607778,0
2697-hidden,Ladysmith,2697-hidden,Ladysmith,-1071607778,0
2698-hidden,Courtenay,2698-hidden,Courtenay,-1071607778,0
2707-hidden,Golden,2707-hidden,Golden,-1071607778,0
2708-hidden,N/A,2708-hidden,N/A,-1071607778,0
2709-hidden,Athalmer,2709-hidden,Athalmer,-1071607778,0
2710-hidden,Athalmer,2710-hidden,Athalmer,-1071607778,0
2711-hidden,Victoria,2711-hidden,Victoria,-1071607778,0
2712-hidden,Victoria,2712-hidden,Victoria,-1071607778,0
2713-hidden,Victoria,2713-hidden,Victoria,-1071607778,0
401-hidden,North Vancouver,401-hidden,North Vancouver,-1071607778,0
402-hidden,North Vancouver,402-hidden,North Vancouver,-1071607778,0
403-hidden,Castlegar,403-hidden,Castlegar,-1071607778,0
2339-hidden,PORT ALBERNI,2339-hidden,PORT ALBERNI,-1071607778,0
2340-hidden,PORT ALBERNI,2340-hidden,PORT ALBERNI,-1071607778,0
2341-hidden,PORT ALBERNI,2341-hidden,PORT ALBERNI,-1071607778,0
2342-hidden,PORT ALBERNI,2342-hidden,PORT ALBERNI,-1071607778,0
2343-hidden,PORT ALBERNI,2343-hidden,PORT ALBERNI,-1071607778,0
2344-hidden,PORT ALBERNI,2344-hidden,PORT ALBERNI,-1071607778,0
2350-hidden,Port Alberni,2350-hidden,Port Alberni,-1071607778,0
2356-hidden,Trail,2356-hidden,Trail,-1071607778,0
2357-hidden,Silverton,2357-hidden,Silverton,-1071607778,0
2358-hidden,Port Alberni,2358-hidden,Port Alberni,-1071607778,0
2359-hidden,Port Alberni,2359-hidden,Port Alberni,-1071607778,0
2360-hidden,Port Alberni,2360-hidden,Port Alberni,-1071607778,0
2361-hidden,Windermere,2361-hidden,Windermere,-1071607778,0
2362-hidden,Creston,2362-hidden,Creston,-1071607778,0
2363-hidden,Port Alberni,2363-hidden,Port Alberni,-1071607778,0
2364-hidden,Castlegar,2364-hidden,Castlegar,-1071607778,0
2365-hidden,Jaffray,2365-hidden,Jaffray,-1071607778,0
2366-hidden,Port Alberni,2366-hidden,Port Alberni,-1071607778,0
2367-hidden,Needles,2367-hidden,Needles,-1071607778,0
2368-hidden,Needles,2368-hidden,Needles,-1071607778,0
2369-hidden,Port Alberni,2369-hidden,Port Alberni,-1071607778,0
2370-hidden,Salmo,2370-hidden,Salmo,-1071607778,0
2371-hidden,Trail,2371-hidden,Trail,-1071607778,0
2372-hidden,Trail,2372-hidden,Trail,-1071607778,0
2373-hidden,Golden,2373-hidden,Golden,-1071607778,0
2374-hidden,Salmo,2374-hidden,Salmo,-1071607778,0
2375-hidden,Salmo,2375-hidden,Salmo,-1071607778,0
2376-hidden,Salmo,2376-hidden,Salmo,-1071607778,0
2386-hidden,Nanaimo,2386-hidden,Nanaimo,-1071607778,0
2387-hidden,Port Alberni,2387-hidden,Port Alberni,-1071607778,0
2388-hidden,Port Alberni,2388-hidden,Port Alberni,-1071607778,0
798-hidden,Sparwood, BC,798-hidden,Sparwood, BC,-1071607778,0
799-hidden,Cranbrook BC,799-hidden,Cranbrook BC,-1071607778,0
800-hidden,Castlegar,800-hidden,Castlegar,-1071607778,0
801-hidden,Castlegar,801-hidden,Castlegar,-1071607778,0
802-hidden,Castlegar,802-hidden,Castlegar,-1071607778,0
803-hidden,Nelson,803-hidden,Nelson,-1071607778,0
811-hidden,Midway,811-hidden,Midway,-1071607778,0
812-hidden,Midway,812-hidden,Midway,-1071607778,0
813-hidden,Midway,813-hidden,Midway,-1071607778,0
814-hidden,Midway,814-hidden,Midway,-1071607778,0
815-hidden,Midway,815-hidden,Midway,-1071607778,0
816-hidden,Midway,816-hidden,Midway,-1071607778,0
817-hidden,Midway,817-hidden,Midway,-1071607778,0
818-hidden,Trail,818-hidden,Trail,-1071607778,0
819-hidden,Nelson,819-hidden,Nelson,-1071607778,0
820-hidden,Nelson,820-hidden,Nelson,-1071607778,0
821-hidden,Nelson,821-hidden,Nelson,-1071607778,0
822-hidden,Nelson,822-hidden,Nelson,-1071607778,0
824-hidden,Nelson,824-hidden,Nelson,-1071607778,0
825-hidden,Cranbrook BC,825-hidden,Cranbrook BC,-1071607778,0
826-hidden,Cranbrook, BC,826-hidden,Cranbrook, BC,-1071607778,0
823-hidden,,823-hidden,,-1071607778,0
827-hidden,Trail,827-hidden,Trail,-1071607778,0
828-hidden,Grand Forks,828-hidden,Grand Forks,-1071607778,0
829-hidden,Kootenay Bay,829-hidden,Kootenay Bay,-1071607778,0
830-hidden,Fauquier,830-hidden,Fauquier,-1071607778,0
831-hidden,kootenay bay,831-hidden,kootenay bay,-1071607778,0
832-hidden,Telkwa,832-hidden,Telkwa,-1071607778,0
833-hidden,Nakusp,833-hidden,Nakusp,-1071607778,0
834-hidden,Nakusp,834-hidden,Nakusp,-1071607778,0
1814-hidden,Oliver,1814-hidden,Oliver,-1071607778,0
1815-hidden,Oliver,1815-hidden,Oliver,-1071607778,0
1045-hidden,Harrop,1045-hidden,Harrop,-1071607778,0
1046-hidden,Harrop,1046-hidden,Harrop,-1071607778,0
1055-hidden,Qualicum Beach,1055-hidden,Qualicum Beach,-1071607778,0
1065-hidden,Nanaimo,1065-hidden,Nanaimo,-1071607778,0
1066-hidden,Ladysmith,1066-hidden,Ladysmith,-1071607778,0
1067-hidden,Victoria,1067-hidden,Victoria,-1071607778,0
1075-hidden,Saanichton,1075-hidden,Saanichton,-1071607778,0
1076-hidden,Victoria,1076-hidden,Victoria,-1071607778,0
